Model,Parameters,Layers,Residual Blocks,Conv Layers,Dense Layers,Bottlenecks,Pooling Layers,Normalization Layers,Recurrent Layers,Output Features,Training Dataset,RF25 Layer Number,RF25 Layer Name,Architecture,Crop Percentage,Family
regnetx_040,22118248,493,23,74,1,23,0,74,0,1000,ImageNet-1K,36,s3.b4.conv2.conv,regnetx_040,0.875,regnet
regnetx_064,26209256,373,17,56,1,17,0,56,0,1000,ImageNet-1K,30,s3.b3.conv2.conv,regnetx_064,0.875,regnet
regnetx_080,39572648,493,23,74,1,23,0,74,0,1000,ImageNet-1K,36,s3.b4.conv2.conv,regnetx_080,0.875,regnet
regnetx_120,46106056,413,19,62,1,19,0,62,0,1000,ImageNet-1K,33,s3.b3.conv2.conv,regnetx_120,0.875,regnet
regnetx_160,54278536,473,22,71,1,22,0,71,0,1000,ImageNet-1K,36,s3.b3.conv2.conv,regnetx_160,0.875,regnet
regnetx_320,107811560,493,23,74,1,23,0,74,0,1000,ImageNet-1K,39,s3.b3.conv2.conv,regnetx_320,0.875,regnet
regnety_002,3162996,358,13,70,1,13,0,44,0,1000,ImageNet-1K,42,s4.b2.conv2.conv,regnety_002,0.875,regnet
regnety_004,4344144,433,16,85,1,16,0,53,0,1000,ImageNet-1K,56,s4.b1.conv2.conv,regnety_004,0.875,regnet
regnety_006,6055160,408,15,80,1,15,0,50,0,1000,ImageNet-1K,46,s3.b5.conv2.conv,regnety_006,0.875,regnet
regnety_008,6263168,383,14,75,1,14,0,47,0,1000,ImageNet-1K,36,s3.b3.conv2.conv,regnety_008,0.875,regnet
regnety_016,11202430,708,27,140,1,27,0,86,0,1000,ImageNet-1K,66,s3.b5.conv2.conv,regnety_016,0.875,regnet
regnety_032,19436338,558,21,110,1,21,0,68,0,1000,ImageNet-1K,51,s3.b3.conv2.conv,regnety_032,1.0,regnet
regnety_040,20646656,583,22,115,1,22,0,71,0,1000,ImageNet-1K,61,s3.b4.conv2.conv,regnety_040,1.0,regnet
regnety_064,30583252,658,25,130,1,25,0,80,0,1000,ImageNet-1K,66,s3.b4.conv2.conv,regnety_064,1.0,regnet
