Model,Count
tf_efficientnet_es,1
tf_efficientnetv2_b0,1
tf_efficientnetv2_m_in21ft1k,1
tf_inception_v3,1
swinv2_small_window16_256,1
swinv2_tiny_window8_256,1
swinv2_tiny_window16_256,1
swsl_resnet18,1
swsl_resnet50,1
swsl_resnext50_32x4d,1
swsl_resnext101_32x4d,1
swsl_resnext101_32x8d,1
vit_base_patch16_384,1
vit_base_patch16_rpn_224,1
vit_base_patch32_224,1
vit_base_patch32_224_clip_laion2b,1
vit_base_patch32_224_in21k,1
vit_base_patch32_384,1
vit_base_r50_s16_224_in21k,1
vit_base_r50_s16_384,1
vit_base_patch8_224,1
vit_base_patch8_224_dino,1
vit_base_patch8_224_in21k,1
vit_base_patch16_224,1
vit_base_patch16_224_dino,1
vit_base_patch16_224_in21k,1
vit_base_patch16_224_miil,1
vit_base_patch16_224_miil_in21k,1
twins_pcpvt_small,1
twins_svt_base,1
twins_svt_large,1
twins_svt_small,1
vgg16,1
vgg19,1
vgg19_bn,1
visformer_small,1
tresnet_xl_448,1
tv_resnet34,1
tv_resnet50,1
tv_resnet101,1
tv_resnet152,1
tv_resnext50_32x4d,1
twins_pcpvt_base,1
twins_pcpvt_large,1
vit_small_patch32_224_in21k,1
vit_small_patch32_384,1
vit_small_r26_s32_224,1
vit_small_r26_s32_224_in21k,1
vit_small_r26_s32_384,1
vit_srelpos_medium_patch16_224,1
vit_srelpos_small_patch16_224,1
vit_tiny_patch16_224,1
vit_relpos_medium_patch16_rpn_224,1
vit_relpos_small_patch16_224,1
vit_small_patch8_224_dino,1
vit_small_patch16_224,1
vit_small_patch16_224_dino,1
vit_small_patch16_224_in21k,1
vit_small_patch16_384,1
vit_small_patch32_224,1
vit_large_r50_s32_224,1
vit_large_r50_s32_224_in21k,1
vit_large_r50_s32_384,1
vit_relpos_base_patch16_224,1
vit_relpos_base_patch16_clsgap_224,1
vit_relpos_base_patch32_plus_rpn_256,1
vit_relpos_medium_patch16_224,1
vit_relpos_medium_patch16_cls_224,1
vit_huge_patch14_224_clip_laion2b,1
vit_huge_patch14_224_in21k,1
vit_large_patch14_224_clip_laion2b,1
vit_large_patch16_224,1
vit_large_patch16_224_in21k,1
vit_large_patch16_384,1
vit_large_patch32_224_in21k,1
vit_large_patch32_384,1
xcit_tiny_12_p16_224_dist,1
xcit_tiny_12_p16_384_dist,1
xcit_tiny_24_p8_224,1
xcit_tiny_24_p8_224_dist,1
xcit_tiny_24_p8_384_dist,1
xcit_tiny_24_p16_224,1
xcit_tiny_24_p16_224_dist,1
MobilenetV3small,1
xcit_small_24_p8_224_dist,1
xcit_small_24_p8_384_dist,1
xcit_small_24_p16_224,1
xcit_small_24_p16_224_dist,1
xcit_tiny_12_p8_224,1
xcit_tiny_12_p8_224_dist,1
xcit_tiny_12_p8_384_dist,1
xcit_tiny_12_p16_224,1
xcit_nano_12_p16_384_dist,1
xcit_small_12_p8_224,1
xcit_small_12_p8_224_dist,1
xcit_small_12_p8_384_dist,1
xcit_small_12_p16_224,1
xcit_small_12_p16_224_dist,1
xcit_small_12_p16_384_dist,1
xcit_small_24_p8_224,1
xcit_medium_24_p8_384_dist,1
xcit_medium_24_p16_224,1
xcit_medium_24_p16_384_dist,1
xcit_nano_12_p8_224,1
xcit_nano_12_p8_224_dist,1
xcit_nano_12_p8_384_dist,1
xcit_nano_12_p16_224,1
xcit_nano_12_p16_224_dist,1
regnetx016,1
regnetx032,1
regnetx040,1
regnetx064,1
regnetx080,1
regnetx120,1
regnetx160,1
regnetx320,1
mobilenet,1
mobilenet_v2,1
NASNet_large,1
NASNet_mobile,1
regnetx002,1
regnetx004,1
regnetx006,1
regnetx008,1
efficientnetb7,1
efficientnetv2-b0,1
efficientnetv2-b1,1
efficientnetv2-b2,1
efficientnetv2-b3,1
efficientnetv2-l,1
efficientnetv2-m,1
efficientnetv2-s,1
convnext_xlarge,1
efficientnetb0,1
efficientnetb1,1
efficientnetb2,1
efficientnetb3,1
efficientnetb4,1
efficientnetb5,1
efficientnetb6,1
