Categorical Attribute,Continuous Attribute,F-Statistic,p-value
Training Dataset,Number of Lowest Internal Layer Parameters,0.1748446783565719,0.9134229956721194
Origin,Number of Recurrent Layers,0.1286030769156977,0.8793446853481823
Training Dataset,Number of Recurrent Layers,0.03457679681400962,0.9977100837640579
Model,Number of Parameters,,
Model,Number of Output Features,,
Model,Number of Layers,,
Model,Number of Recurrent Layers,,
Model,Number of Pooling Layers,,
Model,Number of Dense Layers,,
Model,Number of Residual Blocks,,
Model,Number of Attention Layers,,
Model,Number of Convolutional Layers,,
Model,Number of Bottlenecks,,
Model,Number of Normalization Layers,,
Model,Year Made,,
Model,Number of First Layer Parameters,,
Model,Number of Last Layer Parameters,,
Model,Crop Percentage,,
Model,Number of Highest Internal Layer Parameters,,
Model,Number of Lowest Internal Layer Parameters,,
