Last Layer Parameters,Layers,Attention Layers,Crop Percentage,Bottlenecks,Residual Blocks,Origin,First Layer Parameters,Family,Training Dataset,Pooling Layers,Normalization Layers,Output Features,Conv Layers,Recurrent Layers,Lowest Internal Layer Parameters,MAX RF,Architecture,Highest Internal Layer Parameters,Max RF,RF25 Layer Number,Model,Parameters,RF25 Layer Name,Dense Layers,Has Convolutional Layers,Has Residual Blocks,Has Dense Layers,Has Bottlenecks,Has Recurrent Layers,Has Skip Connections,Has Attention Layers,Tokenized,Transformer,Has ReLU,Has GeLU,Other,Year Made,Learning Type,Primary Application,Key Distinguishing Feature,Pooling Type
,30.9,0.0,,0.0,0.0,keras,,regnety,ImageNet-1K,0.0,68.0,1000,110.0,0.0,,,,,,,regnety032,19.502498,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,SiLU,2020.0,Supervised,Image Classification,Regnet With Squeeze Excitation,Average
,32.3,0.0,,0.0,0.0,keras,,regnety,ImageNet-1K,0.0,71.0,1000,115.0,0.0,,,,,,,regnety040,20.708928,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,SiLU,2020.0,Supervised,Image Classification,Regnet With Squeeze Excitation,Average
,36.5,0.0,,0.0,0.0,keras,,regnety,ImageNet-1K,0.0,80.0,1000,130.0,0.0,,,,,,,regnety064,30.665684,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,SiLU,2020.0,Supervised,Image Classification,Regnet With Squeeze Excitation,Average
,25.3,0.0,,0.0,0.0,keras,,regnety,ImageNet-1K,0.0,56.0,1000,90.0,0.0,,,,,,,regnety080,39.265812,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,SiLU,2020.0,Supervised,Image Classification,Regnet With Squeeze Excitation,Average
,28.1,0.0,,0.0,0.0,keras,,regnety,ImageNet-1K,0.0,62.0,1000,100.0,0.0,,,,,,,regnety120,51.918928,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,SiLU,2020.0,Supervised,Image Classification,Regnet With Squeeze Excitation,Average
,26.7,0.0,,0.0,0.0,keras,,regnety,ImageNet-1K,0.0,59.0,1000,95.0,0.0,,,,,,,regnety160,83.712956,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,SiLU,2020.0,Supervised,Image Classification,Regnet With Squeeze Excitation,Average
,29.5,0.0,,0.0,0.0,keras,,regnety,ImageNet-1K,0.0,65.0,1000,105.0,0.0,,,,,,,regnety320,145.205058,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,SiLU,2020.0,Supervised,Image Classification,Regnet With Squeeze Excitation,Average
,52.9,0.0,,0.0,33.0,keras,,resnet,ImageNet-1K,3.0,107.0,1000,173.0,0.0,,,,,,,resnet-rs-101,63.724296,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,2015.0,Supervised,"Image Classification, Object Detection, Image Segmentation",Deep Residual Learning for Image Recognition,"Max, Average"
,78.4,0.0,,0.0,50.0,keras,,resnet,ImageNet-1K,3.0,158.0,1000,258.0,0.0,,,,,,,resnet-rs-152,86.773256,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,2015.0,Supervised,"Image Classification, Object Detection, Image Segmentation",Deep Residual Learning for Image Recognition,"Max, Average"
,109.0,0.0,,0.0,66.0,keras,,resnet,ImageNet-1K,3.0,206.0,1000,338.0,0.0,,,,,,,resnet-rs-200,93.386248,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,2015.0,Supervised,"Image Classification, Object Detection, Image Segmentation",Deep Residual Learning for Image Recognition,"Max, Average"
